"","LD1","absolute_LD1"
"GreenMean",-2.60731633986697,2.60731633986697
"RedMean",1.7500112435787,1.7500112435787
"RedSD",-0.965145048064659,0.965145048064659
"BlueMax",0.796164899250798,0.796164899250798
"RedMin",0.728199571587219,0.728199571587219
"GreenMax",-0.718243964519535,0.718243964519535
"BlueSD",0.656007836714616,0.656007836714616
"BlueSkew",-0.65437793779791,0.65437793779791
"RedSkew",0.63882317026584,0.63882317026584
"GreenKurt",0.512545248108327,0.512545248108327
"RedKurt",-0.334101192823063,0.334101192823063
"GreenMin",-0.319196191526339,0.319196191526339
"RedMax",0.300597153165295,0.300597153165295
"GreenSkew",0.163374058020679,0.163374058020679
"BlueMin",-0.111995718731466,0.111995718731466
"BlueKurt",-0.103895616998012,0.103895616998012
"GreenSD",0.0891105899218684,0.0891105899218684
"BlueMean",0.07752310769841,0.07752310769841
